iter	Passed	Remaining
0	157	157149
1	161	80713
2	175	58447
3	178	44498
4	180	36008
5	189	31441
6	192	27334
7	194	24162
8	201	22149
9	207	20553
10	210	18914
11	221	18271
12	225	17119
13	227	16047
14	235	15482
15	238	14685
16	240	13931
17	248	13540
18	254	13124
19	256	12565
20	258	12045
21	267	11884
22	269	11451
23	271	11042
24	290	11344
25	307	11511
26	318	11494
27	320	11128
28	322	10793
29	334	10815
30	353	11040
31	361	10932
32	364	10688
33	366	10422
34	369	10198
35	376	10068
36	378	9843
37	380	9633
38	382	9420
39	384	9223
40	390	9144
41	395	9030
42	397	8857
43	416	9047
44	421	8954
45	428	8876
46	429	8716
47	431	8560
48	436	8463
49	438	8336
50	442	8240
51	444	8107
52	446	7975
53	447	7845
54	453	7790
55	455	7672
56	456	7556
57	458	7445
58	467	7458
59	470	7364
60	471	7263
61	473	7165
62	483	7188
63	485	7107
64	487	7016
65	489	6928
66	498	6939
67	500	6855
68	502	6777
69	504	6696
70	505	6614
71	511	6593
72	515	6546
73	517	6476
74	519	6404
75	520	6332
76	529	6349
77	531	6285
78	533	6224
79	536	6165
80	542	6150
81	543	6086
82	544	6016
83	546	5956
84	548	5905
85	557	5927
86	560	5881
87	562	5825
88	563	5770
89	565	5716
90	571	5709
91	573	5656
92	576	5619
93	577	5569
94	579	5519
95	581	5471
96	586	5464
97	589	5427
98	591	5387
99	593	5343
100	595	5299
101	601	5296
102	603	5255
103	606	5225
104	609	5199
105	611	5158
106	617	5155
107	621	5130
108	623	5093
109	624	5054
110	626	5015
111	632	5011
112	633	4975
113	637	4955
114	639	4921
115	641	4887
116	642	4849
117	647	4839
118	649	4805
119	650	4771
120	652	4739
121	653	4704
122	655	4672
123	657	4642
124	661	4631
125	666	4626
126	669	4600
127	671	4572
128	673	4544
129	674	4517
130	678	4498
131	679	4471
132	681	4443
133	683	4414
134	689	4418
135	691	4390
136	693	4368
137	695	4343
138	697	4317
139	698	4291
140	704	4292
141	705	4264
142	708	4245
143	710	4221
144	711	4197
145	713	4172
146	725	4211
147	728	4190
148	735	4200
149	740	4198
150	743	4177
151	745	4157
152	751	4160
153	754	4142
154	756	4124
155	758	4105
156	767	4118
157	771	4112
158	773	4093
159	788	4141
160	790	4117
161	792	4098
162	799	4105
163	804	4103
164	807	4085
165	815	4094
166	818	4084
167	820	4065
168	823	4049
169	830	4056
170	838	4063
171	850	4095
172	853	4081
